,Freq,review,pos_tag,neg,neu,pos,compound
285,54,a   t   t   e   n   d   a   n   c  ,"('a   t   t   e   n   d   a   n   c  ', 'NN')",0.0,0.0,0.0,0.0
284,54,c   o   w   o   r   k   e   r  ,"('c   o   w   o   r   k   e   r  ', 'NN')",0.0,0.0,0.0,0.0
1944,54,d   e   p   l   o   y   e   d,"('d   e   p   l   o   y   e   d', 'NN')",0.0,0.0,0.0,0.0
1433,54,m   a   c   h   i   n  ,"('m   a   c   h   i   n  ', 'NN')",0.0,0.0,0.0,0.0
1134,54,s   c   r   a   t   c   h,"('s   c   r   a   t   c   h', 'NN')",0.0,0.0,0.0,0.0
1210,53,c   o   n   t   i   n   u   e   d,"('c   o   n   t   i   n   u   e   d', 'NN')",0.0,0.0,0.0,0.0
364,53,n   e   e   d,"('n   e   e   d', 'JJ')",0.0,0.0,0.0,0.0
1118,53,t   a   k  ,"('t   a   k  ', 'NN')",0.0,0.0,0.0,0.0
735,53,c   o   m  ,"('c   o   m  ', 'NN')",0.0,0.0,0.0,0.0
1517,53,s   c   h   o   o   l,"('s   c   h   o   o   l', 'NN')",0.0,0.0,0.0,0.0
177,53,d   e   m   o   n   s   t   r   a   t   e   d,"('d   e   m   o   n   s   t   r   a   t   e   d', 'NN')",0.0,0.0,0.0,0.0
1317,53,r   e   a   d,"('r   e   a   d', 'NN')",0.0,0.0,0.0,0.0
841,52,t   e   c   h   n   o   l   o   g   i,"('t   e   c   h   n   o   l   o   g   i', 'NN')",0.0,0.0,0.0,0.0
68,52,l   o   t,"('l   o   t', 'VBZ')",0.0,0.0,0.0,0.0
594,52,a   s   s   i   g   n   m   e   n   t,"('a   s   s   i   g   n   m   e   n   t', 'JJ')",0.0,0.0,0.0,0.0
350,52,e   s   p   e   c   i   a   l   l   i,"('e   s   p   e   c   i   a   l   l   i', 'NN')",0.0,0.0,0.0,0.0
334,51,a   n   a   l   y   s   i  ,"('a   n   a   l   y   s   i  ', 'NN')",0.0,0.0,0.0,0.0
698,51,a   b   i   l   i   t   i,"('a   b   i   l   i   t   i', 'NN')",0.0,0.0,0.0,0.0
1165,51,s   e   c   u   r   i   t   i,"('s   e   c   u   r   i   t   i', 'NN')",0.0,0.0,0.0,0.0
209,51,l   e   a   r   n   e   r,"('l   e   a   r   n   e   r', 'NN')",0.0,0.0,0.0,0.0
2321,51,c   o   d   e   d,"('c   o   d   e   d', 'NN')",0.0,0.0,0.0,0.0
269,50,t   h   i   n   g,"('t   h   i   n   g', 'NN')",0.0,0.0,0.0,0.0
64,50,t   a   k  ,"('t   a   k  ', 'NN')",0.0,0.0,0.0,0.0
1452,50,f   r   e   e,"('f   r   e   e', 'NN')",0.0,0.0,0.0,0.0
264,50,a   t   t   i   t   u   d  ,"('a   t   t   i   t   u   d  ', 'NN')",0.0,0.0,0.0,0.0
202,50,q   u   i   c   k,"('q   u   i   c   k', 'NN')",0.0,0.0,0.0,0.0
131,50,p   r   o   b   l   e   m,"('p   r   o   b   l   e   m', 'NN')",0.0,0.0,0.0,0.0
1257,50,r   u   n,"('r   u   n', 'NN')",0.0,0.0,0.0,0.0
286,48,r   e   c   o   r   d,"('r   e   c   o   r   d', 'NN')",0.0,0.0,0.0,0.0
696,48,i   m   p   r   e   s   s   e   d,"('i   m   p   r   e   s   s   e   d', 'NN')",0.0,0.0,0.0,0.0
226,48,b   u   i   l   d   i   n   g,"('b   u   i   l   d   i   n   g', 'NN')",0.0,0.0,0.0,0.0
1722,48,m   e   s   s   a   g   i   n   g,"('m   e   s   s   a   g   i   n   g', 'NN')",0.0,0.0,0.0,0.0
1313,48,r   e   v   i   e   w,"('r   e   v   i   e   w', 'NN')",0.0,0.0,0.0,0.0
825,48,c   o   m   m   u   n   i   c   a   t   i   o   n,"('c   o   m   m   u   n   i   c   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
2555,48,m   a   n   i   p   u   l   a   t   i   o   n,"('m   a   n   i   p   u   l   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
1445,48,m   u   l   t   i,"('m   u   l   t   i', 'NN')",0.0,0.0,0.0,0.0
345,48,r   e   q   u   i   r   e   d,"('r   e   q   u   i   r   e   d', 'NN')",0.0,0.0,0.0,0.0
1248,48,f   a   s   t,"('f   a   s   t', 'NN')",0.0,0.0,0.0,0.0
2245,48,h   a   n   d   l  ,"('h   a   n   d   l  ', 'NN')",0.0,0.0,0.0,0.0
1129,47,s   t   u   d   e   n   t,"('s   t   u   d   e   n   t', 'NN')",0.0,0.0,0.0,0.0
240,47,g   i   t   h   u   b,"('g   i   t   h   u   b', 'NN')",0.0,0.0,0.0,0.0
558,47,c   r   e   a   t   e   d,"('c   r   e   a   t   e   d', 'NN')",0.0,0.0,0.0,0.0
430,46,h   o   p  ,"('h   o   p  ', 'NN')",0.0,0.0,0.0,0.0
400,46,d   u   e,"('d   u   e', 'NN')",0.0,0.0,0.0,0.0
540,46,c   p   a   n   e   l,"('c   p   a   n   e   l', 'NN')",0.0,0.0,0.0,0.0
306,46,c   o   m   p   u   t   e   r,"('c   o   m   p   u   t   e   r', 'NN')",0.0,0.0,0.0,0.0
2197,45,s   i   m   p   l  ,"('s   i   m   p   l  ', 'NN')",0.0,0.0,0.0,0.0
713,45,p   e   r   s   o   n,"('p   e   r   s   o   n', 'NN')",0.0,0.0,0.0,0.0
157,45,s   u   p   e   r   v   i   s   i   o   n,"('s   u   p   e   r   v   i   s   i   o   n', 'NN')",0.0,0.0,0.0,0.0
280,45,m   u   c   h,"('m   u   c   h', 'NN')",0.0,0.0,0.0,0.0
1947,45,l   e,"('l   e', 'NN')",0.0,0.0,0.0,0.0
767,45,t   e   r   m,"('t   e   r   m', 'NN')",0.0,0.0,0.0,0.0
1854,45,m   a   i   n   t   a   i   n,"('m   a   i   n   t   a   i   n', 'NN')",0.0,0.0,0.0,0.0
4616,45,a   t   a   r   a,"('a   t   a   r   a', 'NN')",0.0,0.0,0.0,0.0
4617,45,l   e   g   a   c   i,"('l   e   g   a   c   i', 'NN')",0.0,0.0,0.0,0.0
1485,44,i   n   t   e   r   n,"('i   n   t   e   r   n', 'NN')",0.0,0.0,0.0,0.0
11,44,h   a   n   d,"('h   a   n   d', 'NN')",0.0,0.0,0.0,0.0
225,44,b   a   s   i   c,"('b   a   s   i   c', 'NN')",0.0,0.0,0.0,0.0
1554,44,r   e   p   a   i   r,"('r   e   p   a   i   r', 'NN')",0.0,0.0,0.0,0.0
682,43,b   a   c   k,"('b   a   c   k', 'NN')",0.0,0.0,0.0,0.0
1548,43,c   o   l   l   e   a   g   u  ,"('c   o   l   l   e   a   g   u  ', 'NN')",0.0,0.0,0.0,0.0
699,43,i   n   f   o   r   m   a   t   i   o   n,"('i   n   f   o   r   m   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
1126,43,w   i   s   h,"('w   i   s   h', 'NN')",0.0,0.0,0.0,0.0
1139,42,m   a   k   i   n   g,"('m   a   k   i   n   g', 'NN')",0.0,0.0,0.0,0.0
1042,42,a   p   p   l   i   c   a   t   i   o   n,"('a   p   p   l   i   c   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
803,42,l   o   a   d,"('l   o   a   d', 'NN')",0.0,0.0,0.0,0.0
2133,42,r   e   l   a   t   i   o   n   s   h   i   p,"('r   e   l   a   t   i   o   n   s   h   i   p', 'NN')",0.0,0.0,0.0,0.0
78,42,p   r   i   n   t   e   r,"('p   r   i   n   t   e   r', 'NN')",0.0,0.0,0.0,0.0
509,42,p   l   a   t   f   o   r   m,"('p   l   a   t   f   o   r   m', 'NN')",0.0,0.0,0.0,0.0
1697,42,s   q   l,"('s   q   l', 'NN')",0.0,0.0,0.0,0.0
86,42,a   c   t   i   v   i   t   i,"('a   c   t   i   v   i   t   i', 'NN')",0.0,0.0,0.0,0.0
283,42,r   e   l   a   t   i   o   n   s   h   i   p,"('r   e   l   a   t   i   o   n   s   h   i   p', 'NN')",0.0,0.0,0.0,0.0
1712,41,j   o   s   h   u   a,"('j   o   s   h   u   a', 'NN')",0.0,0.0,0.0,0.0
346,41,i   m   p   l   e   m   e   n   t,"('i   m   p   l   e   m   e   n   t', 'NN')",0.0,0.0,0.0,0.0
582,41,b   a   s   i   c,"('b   a   s   i   c', 'NN')",0.0,0.0,0.0,0.0
3027,41,b   u   i   l   t,"('b   u   i   l   t', 'NN')",0.0,0.0,0.0,0.0
